NE,tDate,jobId,sItem,iValue
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd1.max,320
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd7.min,299
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd32.max,199
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd11.actual,393
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd5.min,194
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd34.actual,-2
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd9.actual,259
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd7.max,314
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd19.actual,408
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd16.max,227
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd27.actual,553
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd5.max,201
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd3.actual,272
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd11.min,380
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd10.max,190
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd31.actual,306
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd17.min,236
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd22.actual,206
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd30.min,211
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd32.min,192
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd8.actual,180
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd15.max,366
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd9.max,261
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd18.min,168
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd4.actual,174
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd32.actual,199
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd27.max,553
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd30.max,220
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd14.max,213
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd5.actual,201
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd4.max,174
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd9.min,251
CUDB04,2015-09-08 10:00:07,LdapFrontEnds,ldapTpsAtFrontEnd4.min,168
